"","logFC","logCPM","LR","PValue","FDR","tag"
"hsa-miR-539-5p",-1.20909353121938,0.904480647159721,35.6581059318873,2.35167311385842e-09,1.24500341321916e-08,"Down"
"hsa-miR-130b-5p",0.833438244872204,3.91294224829144,35.6238760964478,2.39336031506393e-09,1.25651416540856e-08,"Stable"
"hsa-miR-20b-5p",0.736469607236307,3.55208820349489,35.451496809667,2.61481369235853e-09,1.35826570939434e-08,"Stable"
"hsa-miR-154-3p",-1.2505910797013,-0.164641053099399,35.4400007092156,2.63029232612873e-09,1.35826570939434e-08,"Down"
"hsa-miR-765",0.929634364884582,-0.429081435282061,35.3571435940418,2.74460058566536e-09,1.40577103168226e-08,"Stable"
"hsa-miR-323a-3p",-1.46899042411937,-0.0372607845009474,35.1458339438208,3.0591515835223e-09,1.55424636904762e-08,"Down"
"hsa-miR-375-3p",-1.15011838412456,12.8057740636894,34.5040886423727,4.25356899143525e-09,2.14379877168337e-08,"Down"
"hsa-miR-1976",0.365607977589083,4.12376837004964,34.0318379490712,5.42176227457194e-09,2.70783209449381e-08,"Stable"
"hsa-miR-410-3p",-1.15859509520703,2.05919602462288,34.0186460354206,5.45864565080498e-09,2.70783209449381e-08,"Down"
"hsa-miR-664b-3p",0.363533765988369,3.22517219489031,33.9536762495324,5.64399437092172e-09,2.77790347943803e-08,"Stable"
"hsa-miR-502-3p",0.334883200702774,3.31032546102569,33.6771337027939,6.50609926876297e-09,3.17739731730284e-08,"Stable"
"hsa-miR-30c-2-3p",0.501456868790899,7.45704551048339,33.6593782707172,6.56575657238598e-09,3.18186664661782e-08,"Stable"
"hsa-miR-135b-5p",-0.496123425026983,7.89241772333857,33.5785851074366,6.84421133352212e-09,3.29149094665568e-08,"Stable"
"hsa-miR-940",0.591889145102765,1.20289894446595,33.4389666914416,7.35357614287999e-09,3.50966134092e-08,"Stable"
"hsa-miR-27a-3p",-0.437210208951632,10.5664730534143,33.4079064394967,7.47195853002629e-09,3.53934877738088e-08,"Stable"
"hsa-miR-3622a-3p",-1.04474356643203,0.492354356906024,33.1908677802876,8.35419592384084e-09,3.9277189791192e-08,"Down"
"hsa-miR-125b-5p",-0.410936095886464,12.0338438406756,33.0096067686695,9.17046195662681e-09,4.27954891309251e-08,"Stable"
"hsa-miR-1226-3p",0.635373141505888,0.693163845015943,32.8334342767851,1.00403035817491e-08,4.65102298272201e-08,"Stable"
"hsa-miR-338-3p",0.625915388395097,9.30061258083649,32.3919676519623,1.26006242095085e-08,5.79444762919005e-08,"Stable"
"hsa-miR-146a-5p",-0.769510123548155,6.85031963504511,32.2790451793722,1.33545802529356e-08,6.09665620242714e-08,"Stable"
"hsa-miR-370-5p",-1.11225466655871,0.446718479015244,32.1413061783088,1.43356752701206e-08,6.49746433106187e-08,"Down"
"hsa-miR-1262",-0.666680231245805,-0.0286595966526935,32.0104668305463,1.53344127375293e-08,6.90048573188819e-08,"Stable"
"hsa-miR-585-3p",0.752680699534165,1.18678805351798,31.7173595729394,1.78321132733237e-08,7.96753997318719e-08,"Stable"
"hsa-miR-29b-2-5p",0.506385975586947,6.40824343214096,31.4062463998293,2.09306451428747e-08,9.28613129578245e-08,"Stable"
"hsa-miR-188-3p",0.618057284624605,0.763500683773405,31.2635499061507,2.25269683155638e-08,9.92446855860503e-08,"Stable"
"hsa-miR-1247-5p",-1.47319566092615,1.67572313089339,31.1381510141357,2.40301721353637e-08,1.05132003092216e-07,"Down"
"hsa-miR-625-3p",-0.43947690795485,6.94878466546778,31.1106749516684,2.43727325819138e-08,1.05895320873143e-07,"Stable"
"hsa-miR-584-5p",0.426286806450706,6.1225491591376,31.0675366478326,2.49204599649836e-08,1.07533491629724e-07,"Stable"
"hsa-miR-3614-5p",-0.861553065462881,0.292953355512463,30.9025615030768,2.71313443007715e-08,1.16277189860449e-07,"Stable"
"hsa-miR-7-5p",1.37607333501071,4.29634238639903,30.7088158925718,2.99799840649524e-08,1.27617499735946e-07,"Up"
"hsa-miR-5586-5p",-0.810325058993158,1.42883577518515,30.6753112649715,3.05021521408733e-08,1.28968831199666e-07,"Stable"
"hsa-miR-199a-5p",-0.754684540080993,8.90762447858391,30.261446514924,3.77556476498194e-08,1.58573720129241e-07,"Stable"
"hsa-miR-675-3p",-1.11117543307244,2.61186872387187,30.0841241642562,4.1370419477199e-08,1.72605061394936e-07,"Down"
"hsa-miR-432-5p",-1.02790779833068,1.07892524378651,29.9254787527983,4.48974090179789e-08,1.86087945271886e-07,"Down"
"hsa-miR-605-5p",0.687136318318686,-0.177730387017932,29.8152403268164,4.75241395679609e-08,1.95687633515133e-07,"Stable"
"hsa-miR-1247-3p",-1.49196258495007,3.50852189507088,29.5203179835723,5.53335834083216e-08,2.26364659397679e-07,"Down"
"hsa-miR-495-3p",-0.93184706242595,1.14008662285508,29.3402414425366,6.07215281881649e-08,2.46803630700283e-07,"Stable"
"hsa-miR-431-3p",-1.10824975550803,1.09086339866264,28.8918031036631,7.65361167304333e-08,3.09088163719058e-07,"Down"
"hsa-miR-30a-3p",0.439419254202183,14.2202285763615,28.6256661544352,8.78105388337175e-08,3.52360760925109e-07,"Stable"
"hsa-miR-222-3p",-0.687868833344031,8.83758167460611,28.4698398459332,9.51695087260079e-08,3.79473357578386e-07,"Stable"
"hsa-miR-205-5p",-1.58345432163072,7.45065969117058,28.3758281051645,9.99049607117472e-08,3.95849844329564e-07,"Down"
"hsa-miR-98-5p",0.33196605031374,6.30819275973291,28.1450340350634,1.12556098442746e-07,4.42605358097599e-07,"Stable"
"hsa-miR-139-3p",0.547240864305396,5.14476381536595,28.1355285753345,1.13110258180498e-07,4.42605358097599e-07,"Stable"
"hsa-miR-203a-3p",-0.64113029210691,11.9641123277227,28.0639743938127,1.17370509671079e-07,4.56440870943085e-07,"Stable"
"hsa-miR-22-5p",0.366487165347679,4.76996704584079,28.0144823111696,1.20410929842096e-07,4.65391937426507e-07,"Stable"
"hsa-miR-409-5p",-0.957465752164788,1.66681403532516,27.8413783064306,1.3167954562315e-07,5.05842156966979e-07,"Stable"
"hsa-miR-145-3p",0.447924877774099,5.3350371511523,27.3914238264646,1.6616652894369e-07,6.3445401960318e-07,"Stable"
"hsa-miR-1301-3p",0.326568168601321,3.47581774963752,27.3253469877488,1.71942665580715e-07,6.52553489854521e-07,"Stable"
"hsa-miR-509-3-5p",-1.31154096682142,0.607651546132431,27.2346071667106,1.80204079021955e-07,6.79811795112763e-07,"Down"
"hsa-miR-1287-3p",0.487032020819173,3.39854274370073,27.1192764203768,1.91281069750106e-07,7.17304011562899e-07,"Stable"
"hsa-miR-6718-5p",-1.08405313882385,-0.248813283734416,27.0567887644037,1.97565169476291e-07,7.36485543018127e-07,"Down"
"hsa-miR-150-5p",-0.943805293477922,9.06504238607147,27.0110730544994,2.02293279978261e-07,7.49675096390025e-07,"Stable"
"hsa-miR-148b-5p",0.412583538941333,1.54080922761728,26.9869095898146,2.04838010951438e-07,7.54666356136877e-07,"Stable"
"hsa-miR-506-3p",-1.03915208163686,0.271125603963749,26.6503193013582,2.43810495484961e-07,8.93026814857706e-07,"Down"
"hsa-miR-652-5p",0.637372874101671,-0.168194143919317,26.5074905862627,2.62518212706203e-07,9.5599117921912e-07,"Stable"
"hsa-miR-3614-3p",-0.943999008314526,-0.424860386425831,26.4379754160595,2.7213727951058e-07,9.8532463271072e-07,"Stable"
"hsa-miR-616-3p",0.620529821901311,0.736341975392274,26.2413296335146,3.01304548648e-07,1.08061249731503e-06,"Stable"
"hsa-miR-143-5p",0.476503532020833,5.96312793234285,26.2363195572318,3.02087246193879e-07,1.08061249731503e-06,"Stable"
"hsa-miR-338-5p",0.534259392351008,3.10071479164798,26.2266689737502,3.03600654007555e-07,1.08061249731503e-06,"Stable"
"hsa-miR-4638-3p",0.542133228942347,0.272623351814731,25.9956761842288,3.42182866038392e-07,1.21109666069768e-06,"Stable"
"hsa-miR-155-5p",-0.71082672194643,8.03978388915366,25.2067042276832,5.15028516130302e-07,1.81267019643626e-06,"Stable"
"hsa-miR-4473",0.566395626025866,0.135331102968931,24.9848768269745,5.77817655093541e-07,2.02236179282739e-06,"Stable"
"hsa-miR-24-2-5p",-0.330461846874846,4.29363006019127,24.7976273640958,6.36758000506051e-07,2.21634000176139e-06,"Stable"
"hsa-miR-7705",-0.733317581128869,-0.395352004791104,24.6837572561732,6.75510925331605e-07,2.33830704922479e-06,"Stable"
"hsa-miR-4668-3p",-0.593139671692634,0.575572660685496,24.4671960337737,7.55858597388878e-07,2.59797884269882e-06,"Stable"
"hsa-miR-1249-3p",-0.603351928841901,0.409071664618616,24.4597771060147,7.58774773105687e-07,2.59797884269882e-06,"Stable"
"hsa-miR-221-3p",-0.656910925733505,10.8869179323802,24.390651322132,7.86494347864899e-07,2.67833210353993e-06,"Stable"
"hsa-miR-891a-5p",1.50691463513536,7.89460089423683,23.9596900744872,9.83739144370357e-07,3.33201968254476e-06,"Up"
"hsa-miR-23a-3p",-0.267653493398823,11.7829732982363,23.9222390764556,1.00306306053181e-06,3.37930335901091e-06,"Stable"
"hsa-miR-103a-3p",0.295665990319272,14.6189188293048,23.6004121831043,1.18562116867011e-06,3.97309221416048e-06,"Stable"
"hsa-miR-95-3p",0.39976519119694,4.01277376602066,23.3455237016128,1.35358143446367e-06,4.51193811487889e-06,"Stable"
"hsa-miR-3926",-0.587928581158201,0.513640701455215,23.2910950511875,1.39243198544179e-06,4.61701132014909e-06,"Stable"
"hsa-miR-628-5p",0.319387459769985,4.22936032340437,23.2055503037622,1.45576564922784e-06,4.80174009954732e-06,"Stable"
"hsa-miR-92a-3p",-0.267545073032563,13.0929566866448,23.0446692099533,1.58280763149085e-06,5.19358754082936e-06,"Stable"
"hsa-miR-223-5p",-0.721100809929515,0.954844306506907,22.9871086403179,1.63091381130487e-06,5.32370829596925e-06,"Stable"
"hsa-miR-500b-5p",0.386635615280115,2.10892490720679,22.9573218843908,1.65638112028415e-06,5.3789696174176e-06,"Stable"
