"","logFC","AveExpr","t","P.Value","adj.P.Val","B","tag"
"hsa-miR-200a-5p",0.243700216549506,8.31823343972155,0.941113712889837,0.347041264828777,0.416449517794532,-7.10038394923692,"Stable"
"hsa-miR-219a-1-3p",-0.0653192647833079,1.4253405176102,-0.571992489482636,0.567550308065851,0.635091818972444,-7.11125669642027,"Stable"
"hsa-miR-627-5p",0.0333393121356989,0.186861658086672,0.248621442472182,0.803742274660308,0.84252517976039,-7.11337367590656,"Stable"
"hsa-miR-6755-5p",-0.00417202650752074,0.0436528287639473,-0.0337995886145649,0.973048677818671,0.979266241255212,-7.13294419064608,"Stable"
"hsa-miR-92a-3p",0.0633602718957906,13.0519514534367,0.963449890551441,0.335726259503191,0.405964574831114,-7.13608979626598,"Stable"
"hsa-miR-203a-3p",0.141734904713106,11.5699257977003,0.935941161189743,0.349695869564454,0.418837258223585,-7.14602976576378,"Stable"
"hsa-miR-550a-5p",-0.0462611660676069,1.30196353027605,-0.458691324968361,0.646628938778331,0.706024664524001,-7.15671509941826,"Stable"
"hsa-miR-585-3p",-0.000938973899626105,0.38426767173657,-0.00500951315369613,0.996004738678715,0.996004738678715,-7.16763361879663,"Stable"
"hsa-miR-27a-3p",0.0786315176239487,10.3733646779796,0.891854721906059,0.372843367122024,0.444204318298035,-7.17477241658968,"Stable"
"hsa-let-7f-2-3p",-0.0172762687903905,0.573385136376928,-0.148924298182594,0.881665513029511,0.906116269508307,-7.17516899707055,"Stable"
"hsa-miR-23a-5p",0.0647271710016537,1.44670221333566,0.403433472558606,0.686779143611104,0.740874761087321,-7.18737589670378,"Stable"
"hsa-miR-30c-1-3p",-0.0228580549036232,0.875886878983194,-0.185411212138879,0.852971810963301,0.88383592254421,-7.20131853643104,"Stable"
"hsa-miR-409-3p",-0.0795235182234437,1.50088015412093,-0.392992366277872,0.694470580563725,0.747891394453242,-7.2054051219679,"Stable"
"hsa-miR-29b-2-5p",0.0833642050684347,6.14424008651852,0.762287334628536,0.446200688945936,0.514846948783773,-7.20961853476916,"Stable"
"hsa-miR-421",-0.00803765132281176,1.03914095915156,-0.073412606954444,0.941503281868462,0.955148256968005,-7.23196105119771,"Stable"
"hsa-miR-200b-5p",0.142678699695082,3.58852097905953,0.596735952472747,0.550918244343069,0.620891760171974,-7.23737417474588,"Stable"
"hsa-miR-452-3p",0.0207983016563433,1.31135090604896,0.195203291313804,0.845302666291003,0.878145403396457,-7.23832057071409,"Stable"
"hsa-miR-98-5p",0.0579888723615563,6.19310537143817,0.710898283754009,0.477435142435884,0.547876392959211,-7.24881409261683,"Stable"
"hsa-miR-423-5p",0.0652328540201204,6.04875927304721,0.700601672090727,0.48383464907918,0.552202588622977,-7.25290633620003,"Stable"
"hsa-miR-146a-5p",0.11418011409851,6.37649340243926,0.708798756800362,0.478736251132749,0.548370614933876,-7.25333663098513,"Stable"
"hsa-miR-101-3p",-0.0768066195284369,14.7146121420025,-0.825892069826189,0.409207401232328,0.480971385776803,-7.27743660111683,"Stable"
"hsa-miR-6511b-3p",0.0109466668748412,1.63398263377582,0.11180947999161,0.911013437829188,0.92870301914626,-7.28142879702292,"Stable"
"hsa-miR-378c",0.00505241630646225,1.70404711645974,0.0424826258757564,0.966128689724605,0.973857719242402,-7.29380053447119,"Stable"
"hsa-miR-339-5p",0.0548460059184936,4.94908626796151,0.592070934871792,0.554035506773969,0.623289945120715,-7.29455456484948,"Stable"
"hsa-let-7f-1-3p",-0.0198930775670529,2.24990331899325,-0.253907544642848,0.799657631051623,0.841042249687015,-7.30631429388131,"Stable"
"hsa-miR-625-3p",-0.0543717158527315,6.7991700147628,-0.628490829585114,0.529931682806386,0.600462158575581,-7.31887928757103,"Stable"
"hsa-miR-19b-1-5p",-0.0292395421276264,2.75742948375922,-0.322775522018711,0.74698243131918,0.796275688208263,-7.32325449858279,"Stable"
"hsa-miR-532-3p",-0.0492997161406938,5.38280803687112,-0.551518654677865,0.581492153986945,0.64838948143677,-7.33263460723589,"Stable"
"hsa-miR-766-3p",-0.0117018701693596,2.37619993454939,-0.11673494973878,0.9071107997335,0.928080278882576,-7.34162510814501,"Stable"
"hsa-miR-19a-3p",-0.0576978204745968,4.19804614502448,-0.442304023537243,0.658435316229339,0.716432209368711,-7.34880451903354,"Stable"
"hsa-miR-151b",-0.00994181304306307,2.49928501966083,-0.116298820020209,0.907456272685185,0.928080278882576,-7.35049399667215,"Stable"
"hsa-miR-200c-5p",-0.0499720389530163,4.7250236788784,-0.470428256237804,0.638227228669267,0.698061031357011,-7.354309714198,"Stable"
"hsa-miR-338-5p",-0.0218675160531356,2.64794393292596,-0.152374872919819,0.878944654049325,0.904795967403717,-7.35684713704239,"Stable"
"hsa-miR-1180-3p",-0.0503210842550459,5.38636533824984,-0.484902710757771,0.627929788002337,0.69039400775126,-7.36724133771688,"Stable"
"hsa-miR-1468-5p",0.0360850278657989,3.75899300913928,0.338329064320297,0.735238557039238,0.78772780363333,-7.36907917661399,"Stable"
