"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tag"
"hsa-miR-450a-5p",39.1310998599551,0.852530187966647,0.137148201911186,6.21612369747819,5.09586377333136e-10,3.05751826399882e-09,"Stable"
"hsa-miR-450b-5p",60.6407550380873,1.06020572292258,0.143136306017193,7.40696579661089,1.29221772147135e-13,1.15256093548357e-12,"Up"
"hsa-miR-451a",1328.36172753799,-2.11851011442696,0.178486810046717,-11.8692810626873,1.70930187280007e-32,7.17906786576031e-31,"Down"
"hsa-miR-452-3p",2.75059110773527,0.0779926825307546,0.118695584618936,0.65708158210893,0.511128460850507,0.597422876318774,"Stable"
"hsa-miR-452-5p",67.9651156248967,0.320734194189471,0.102516857282934,3.12859955611285,0.00175641498375586,0.00398036489124529,"Stable"
"hsa-miR-4521",0.360130034527926,-0.916880817905425,0.243490037710485,-3.76557836421881,0.000166163996257575,0.000469431917678351,"Stable"
"hsa-miR-454-3p",7.38201411904388,-0.180858667024368,0.0765825329704869,-2.36161772155103,0.0181953939590332,0.0342182035647491,"Stable"
"hsa-miR-454-5p",0.449940898804517,-0.507472662908099,0.235886092350184,-2.15134626146052,0.0314488793869447,0.0559683446716813,"Stable"
"hsa-miR-455-3p",123.755343512101,-0.463914143030107,0.125578560472238,-3.69421453220643,0.00022056752856795,0.000601547805185318,"Stable"
"hsa-miR-455-5p",19.5951070634867,-0.685066513519845,0.123744467222657,-5.53613853528649,3.09213020274415e-08,1.47578941494607e-07,"Stable"
"hsa-miR-4638-3p",0.815484093437704,-0.107203880943358,0.196620781380538,-0.545231690112533,0.585594178651058,0.665928398104994,"Stable"
"hsa-miR-4660",0.404522998874232,0.63363217673518,0.286680520030152,2.21023799129616,0.0270886495930136,0.0493232637098225,"Stable"
"hsa-miR-4661-5p",2.68497454640752,0.229310397364442,0.125492573324796,1.82728261353719,0.0676572879941948,0.111581391194614,"Stable"
"hsa-miR-4662a-5p",7.86567277429315,-0.357600721761023,0.107169854958102,-3.33676593945962,0.000847592958446332,0.00204387585038615,"Stable"
"hsa-miR-4668-3p",1.14947050413154,0.438576299473687,0.198915025990836,2.204842481301,0.0274651498773172,0.0498110815386669,"Stable"
"hsa-miR-4677-3p",9.52038804930889,0.234705030655428,0.0801856092682198,2.92702185338947,0.00342224833061208,0.00721075735212578,"Stable"
"hsa-miR-4677-5p",0.284697267459223,0.443453375102418,0.301836601023458,1.46918357017927,0.141783005387352,0.207728589288446,"Stable"
"hsa-miR-4709-3p",10.2491529326088,3.12459713134485,0.190681302827558,16.3864893149517,2.38846503217699e-60,1.88091621283938e-58,"Up"
"hsa-miR-4728-3p",4.04034005590294,0.559085723378141,0.128272967054434,4.35856233949034,1.30919631653165e-05,4.48132821582281e-05,"Stable"
